Associated Gene Name	Human Ensembl Gene ID	Human Chromosome Name	Human Gene Start (bp)	Human Gene End (bp)	Anole Ensembl Gene ID	Anole Chromosome Name	Anole Chromosome Start (bp)	Anole Chromosome End (bp)	Homology Type
STAM	ENSG00000136738	10	17686124	17757913	ENSACAG00000005258	6	18126805	18144038	ortholog_one2one
SLC39A12	ENSG00000148482	10	18240768	18332221	ENSACAG00000005499	6	17921954	17948288	ortholog_one2one
CACNB2	ENSG00000165995	10	18429606	18830798	ENSACAG00000005593	6	17728968	17898933	ortholog_one2one
NSUN6	ENSG00000241058	10	18834490	18940551	ENSACAG00000005626	6	17706374	17727480	ortholog_one2one
ARL5B	ENSG00000165997	10	18948334	18970568	ENSACAG00000005634	6	17680690	17698645	ortholog_one2one
PLXDC2	ENSG00000120594	10	20105168	20569286	ENSACAG00000009328	6	17061745	17277295	ortholog_one2one
NEBL	ENSG00000078114	10	21068902	21463116	ENSACAG00000009235	6	16858004	16926315	ortholog_one2one
MLLT10	ENSG00000078403	10	21823094	22032559	ENSACAG00000009100	6	16561580	16710014	ortholog_one2one
DNAJC1	ENSG00000136770	10	22045466	22292698	ENSACAG00000009054	6	16471164	16561492	ortholog_one2one
COMMD3	ENSG00000148444	10	22604903	22609235	ENSACAG00000009052	6	16354011	16360427	ortholog_one2one
SPAG6	ENSG00000077327	10	22634399	22743153	ENSACAG00000008944	6	16249202	16304091	ortholog_one2one
PIP4K2A	ENSG00000150867	10	22823778	23003484	ENSACAG00000008773	6	16137833	16206911	ortholog_one2one
ARMC3	ENSG00000165309	10	23216953	23326518	ENSACAG00000008722	6	16028888	16088746	ortholog_one2one
MSRB2	ENSG00000148450	10	23384435	23410942	ENSACAG00000028584	6	15989875	16004378	ortholog_one2one
PTF1A	ENSG00000168267	10	23481256	23483181	ENSACAG00000008717	6	15956689	15960300	ortholog_one2one
C10orf67	ENSG00000179133	10	23556124	23633774	ENSACAG00000008706	6	15889314	15892564	ortholog_one2one
OTUD1	ENSG00000165312	10	23728198	23731308	ENSACAG00000028448	6	15869556	15872048	ortholog_one2one
ARHGAP21	ENSG00000107863	10	24872538	25012597	ENSACAG00000008596	6	15289129	15419344	ortholog_one2one
PRTFDC1	ENSG00000099256	10	25137536	25241533	ENSACAG00000008581	6	15219125	15260492	ortholog_one2one
THNSL1	ENSG00000185875	10	25305587	25315593	ENSACAG00000008536	6	15197494	15202552	ortholog_one2one
GPR158	ENSG00000151025	10	25463991	25891155	ENSACAG00000008498	6	15035612	15163204	ortholog_one2one
MYO3A	ENSG00000095777	10	26223196	26501456	ENSACAG00000008363	6	14849268	14972096	ortholog_one2one
GAD2	ENSG00000136750	10	26505236	26593487	ENSACAG00000008193	6	14802068	14844648	ortholog_one2one
APBB1IP	ENSG00000077420	10	26727132	26856732	ENSACAG00000008163	6	14710219	14758328	ortholog_one2one
ABI1	ENSG00000136754	10	27035522	27150016	ENSACAG00000008110	6	14588682	14660287	ortholog_one2one
YME1L1	ENSG00000136758	10	27399383	27444195	ENSACAG00000007861	6	14472149	14492086	ortholog_one2one
MASTL	ENSG00000120539	10	27443753	27475848	ENSACAG00000008039	6	14492716	14512293	ortholog_one2one
ACBD5	ENSG00000107897	10	27484146	27531059	ENSACAG00000008079	6	14512420	14545358	ortholog_one2one
RAB18	ENSG00000099246	10	27793197	27831143	ENSACAG00000005463	5	669192	686780	ortholog_one2one
MKX	ENSG00000150051	10	27961803	28034989	ENSACAG00000007829	6	14173003	14238954	ortholog_one2one
ARMC4	ENSG00000169126	10	28064115	28287977	ENSACAG00000007785	6	14055560	14149004	ortholog_one2one
MPP7	ENSG00000150054	10	28339922	28623415	ENSACAG00000007649	6	13982787	14026074	ortholog_one2one
WAC	ENSG00000095787	10	28821422	28909928	ENSACAG00000007583	6	13819205	13888072	ortholog_one2one
BAMBI	ENSG00000095739	10	28966271	28971868	ENSACAG00000007580	6	13786022	13790949	ortholog_one2one
SVIL	ENSG00000197321	10	29746267	30025710	ENSACAG00000007423	6	13106655	13219387	ortholog_one2one
KIAA1462	ENSG00000165757	10	30301729	30404423	ENSACAG00000007512	6	13342014	13380971	ortholog_one2one
MTPAP	ENSG00000107951	10	30598730	30663377	ENSACAG00000007513	6	13462011	13475249	ortholog_one2one
MAP3K8	ENSG00000107968	10	30722866	30750762	ENSACAG00000007522	6	13484667	13510644	ortholog_one2one
ZEB1	ENSG00000148516	10	31607424	31818742	ENSACAG00000007353	6	12786118	12808207	ortholog_one2one
ARHGAP12	ENSG00000165322	10	32094365	32217742	ENSACAG00000007253	6	12645221	12708452	ortholog_one2one
KIF5B	ENSG00000170759	10	32297938	32345359	ENSACAG00000007071	6	12561846	12592253	ortholog_one2one
EPC1	ENSG00000120616	10	32556679	32667726	ENSACAG00000007015	6	12508749	12534509	ortholog_one2one
ITGB1	ENSG00000150093	10	33189247	33294720	ENSACAG00000006788	6	12274686	12325701	ortholog_one2one
NRP1	ENSG00000099250	10	33466420	33625190	ENSACAG00000006518	6	12050085	12209652	ortholog_one2one
PARD3	ENSG00000148498	10	34398488	35104253	ENSACAG00000000686	6	11025410	11524167	ortholog_one2one
CUL2	ENSG00000108094	10	35297479	35379570	ENSACAG00000000628	6	10864238	10899058	ortholog_one2one
CREM	ENSG00000095794	10	35415719	35501886	ENSACAG00000000947	6	10823012	10846853	ortholog_one2one
CCNY	ENSG00000108100	10	35535953	35860852	ENSACAG00000001075	6	10702877	10734131	ortholog_one2one
GJD4	ENSG00000177291	10	35894338	35897863	ENSACAG00000001121	6	10693323	10695851	ortholog_one2one
FZD8	ENSG00000177283	10	35927177	35930362	ENSACAG00000001137	6	10678703	10680740	ortholog_one2one
RET	ENSG00000165731	10	43572475	43625799	ENSACAG00000004564	GL343233.1	583056	678251	ortholog_one2one
CSGALNACT2	ENSG00000169826	10	43633934	43680756	ENSACAG00000004748	GL343233.1	709378	730863	ortholog_one2one
RASGEF1A	ENSG00000198915	10	43689983	43762367	ENSACAG00000004785	GL343233.1	745855	893425	ortholog_one2one
CXCL12	ENSG00000107562	10	44793038	44881941	ENSACAG00000011765	GL343297.1	1122807	1129487	ortholog_one2one
TMEM72	ENSG00000187783	10	45406648	45432450	ENSACAG00000011767	GL343297.1	1154865	1178864	ortholog_one2one
ALOX5	ENSG00000012779	10	45869661	45941561	ENSACAG00000013726	4	74247872	74284175	ortholog_one2one
8-Mar	ENSG00000165406	10	45950035	46090354	ENSACAG00000013858	4	74298052	74310381	ortholog_one2one
ZFAND4	ENSG00000172671	10	46111043	46168228	ENSACAG00000007774	GL343297.1	325230	354411	ortholog_one2one
SYT15	ENSG00000204176	10	46955444	46971400	ENSACAG00000014901	GL343199.1	4002952	4038024	ortholog_one2one
GPRIN2	ENSG00000204175	10	46994087	47005643	ENSACAG00000014929	GL343199.1	3927216	3928991	ortholog_one2one
PPYR1	ENSG00000204174	10	47083534	47088320	ENSACAG00000007733	GL343297.1	436661	437791	ortholog_one2one
ZNF488	ENSG00000165388	10	48355024	48373866	ENSACAG00000007731	GL343297.1	483895	484911	apparent_ortholog_one2one
RBP3	ENSG00000107618	10	48381487	48390991	ENSACAG00000011288	GL343297.1	527724	547825	ortholog_one2one
MAPK8	ENSG00000107643	10	49514698	49647403	ENSACAG00000011361	GL343297.1	576935	625480	ortholog_one2one
LRRC18	ENSG00000165383	10	50117528	50143242	ENSACAG00000011623	GL343297.1	673216	673986	ortholog_one2one
VSTM4	ENSG00000165633	10	50226490	50323554	ENSACAG00000011627	GL343297.1	711188	762041	ortholog_one2one
C10orf71	ENSG00000177354	10	50507187	50535537	ENSACAG00000025734	GL343297.1	823290	827564	ortholog_one2one
DRGX	ENSG00000165606	10	50572237	50603986	ENSACAG00000011655	GL343297.1	828832	894394	ortholog_one2one
ERCC6	ENSG00000225830	10	50663414	50747584	ENSACAG00000011685	GL343297.1	934287	987945	ortholog_one2one
CHAT	ENSG00000070748	10	50817141	50901925	ENSACAG00000015249	GL343199.1	3489423	3582746	ortholog_one2one
SLC18A3	ENSG00000187714	10	50818347	50820765	ENSACAG00000015379	GL343199.1	3477625	3479199	ortholog_one2one
OGDHL	ENSG00000197444	10	50942689	50970425	ENSACAG00000015082	GL343199.1	3628323	3691993	ortholog_one2one
PARG	ENSG00000227345	10	51026325	51130715	ENSACAG00000015000	GL343199.1	3745614	3843137	ortholog_one2one
NCOA4	ENSG00000138293	10	51565108	51590734	ENSACAG00000014932	AAWZ02040015	21	7461	ortholog_one2one
SGMS1	ENSG00000198964	10	52065360	52384795	ENSACAG00000015253	GL343246.1	1304508	1319387	ortholog_one2one
A1CF	ENSG00000148584	10	52566322	52645435	ENSACAG00000015269	GL343246.1	1350881	1396063	ortholog_one2one
PRKG1	ENSG00000185532	10	52750945	54058110	ENSACAG00000005437	GL343268.1	120324	241900	ortholog_one2one
DKK1	ENSG00000107984	10	54074056	54077802	ENSACAG00000005589	GL343268.1	272971	279064	ortholog_one2one
MBL2	ENSG00000165471	10	54525140	54531460	ENSACAG00000004891	GL343233.1	1583837	1605636	ortholog_one2one
PCDH15	ENSG00000150275	10	55562531	57387702	ENSACAG00000005607	GL343268.1	446291	918818	ortholog_one2one
ZWINT	ENSG00000122952	10	58116989	58121036	ENSACAG00000006403	2	69547239	69559169	ortholog_one2one
IPMK	ENSG00000151151	10	59951278	60027694	ENSACAG00000004374	GL343378.1	140027	164581	ortholog_one2one
CISD1	ENSG00000122873	10	60028818	60049346	ENSACAG00000004372	GL343378.1	121146	123582	ortholog_one2one
UBE2D1	ENSG00000072401	10	60094735	60129403	ENSACAG00000004368	GL343378.1	65756	106443	ortholog_one2one
TFAM	ENSG00000108064	10	60144782	60158981	ENSACAG00000004364	GL343378.1	49898	60865	ortholog_one2one
BICC1	ENSG00000122870	10	60272900	60591195	ENSACAG00000001892	GL343251.1	1009300	1160188	ortholog_one2one
PHYHIPL	ENSG00000165443	10	60936350	61007534	ENSACAG00000001826	GL343251.1	688754	838321	ortholog_one2one
FAM13C	ENSG00000148541	10	61005890	61122939	ENSACAG00000001677	GL343251.1	579657	674487	ortholog_one2one
SLC16A9	ENSG00000165449	10	61410523	61495760	ENSACAG00000001625	GL343251.1	391754	427843	ortholog_one2one
CCDC6	ENSG00000108091	10	61548521	61666414	ENSACAG00000001589	GL343251.1	313809	335357	ortholog_one2one
ANK3	ENSG00000151150	10	61788159	62493248	ENSACAG00000000230	GL343251.1	31267	252657	ortholog_one2one
CDK1	ENSG00000170312	10	62538089	62554610	ENSACAG00000011086	GL343204.1	4017940	4041020	ortholog_one2one
RHOBTB1	ENSG00000072422	10	62629196	62761198	ENSACAG00000011020	GL343204.1	3932421	4009127	ortholog_one2one
TMEM26	ENSG00000196932	10	63166401	63213208	ENSACAG00000011005	GL343204.1	3676397	3718001	ortholog_one2one
ARID5B	ENSG00000150347	10	63661059	63856703	ENSACAG00000010922	GL343204.1	3047114	3303204	ortholog_one2one
RTKN2	ENSG00000182010	10	63942794	64028466	ENSACAG00000010851	GL343204.1	2958326	3008993	ortholog_one2one
ZNF365	ENSG00000138311	10	64133951	64431771	ENSACAG00000010813	GL343204.1	2893149	2925520	ortholog_one2one
EGR2	ENSG00000122877	10	64571756	64679660	ENSACAG00000010340	GL343204.1	2650531	2656564	ortholog_one2one
NRBF2	ENSG00000148572	10	64893050	64914783	ENSACAG00000010317	GL343204.1	2516918	2535687	ortholog_one2one
JMJD1C	ENSG00000171988	10	64926981	65225722	ENSACAG00000010214	GL343204.1	2381158	2505207	apparent_ortholog_one2one
REEP3	ENSG00000165476	10	65281123	65384883	ENSACAG00000010199	GL343204.1	2295507	2333207	ortholog_one2one
LRRTM3	ENSG00000198739	10	68685764	68859588	ENSACAG00000010660	GL343215.1	658203	834975	ortholog_one2one
DNAJC12	ENSG00000108176	10	69556427	69597924	ENSACAG00000010593	GL343215.1	1241059	1257710	ortholog_one2one
SIRT1	ENSG00000096717	10	69644427	69678147	ENSACAG00000010558	GL343215.1	1273714	1294087	ortholog_one2one
HERC4	ENSG00000148634	10	69681665	69835105	ENSACAG00000010493	GL343215.1	1307729	1349020	ortholog_one2one
MYPN	ENSG00000138347	10	69865912	69971774	ENSACAG00000010443	GL343215.1	1389226	1438920	ortholog_one2one
ATOH7	ENSG00000179774	10	69990386	69991871	ENSACAG00000010441	GL343215.1	1447009	1447458	ortholog_one2one
HNRNPH3	ENSG00000096746	10	70090931	70102948	ENSACAG00000010365	GL343215.1	1485372	1492946	ortholog_one2one
RUFY2	ENSG00000204130	10	70100864	70167051	ENSACAG00000010193	GL343215.1	1526247	1551938	ortholog_one2one
DNA2	ENSG00000138346	10	70173821	70231879	ENSACAG00000010137	GL343215.1	1559343	1595449	ortholog_one2one
SLC25A16	ENSG00000122912	10	70242521	70287231	ENSACAG00000010134	GL343215.1	1603079	1639892	apparent_ortholog_one2one
CCAR1	ENSG00000060339	10	70480769	70552134	ENSACAG00000009927	GL343215.1	1787362	1815243	apparent_ortholog_one2one
STOX1	ENSG00000165730	10	70587298	70655188	ENSACAG00000009924	GL343215.1	1829839	1868401	ortholog_one2one
DDX21	ENSG00000165732	10	70715884	70744829	ENSACAG00000009829	GL343215.1	1871445	1926394	ortholog_one2one
KIAA1279	ENSG00000198954	10	70748487	70776738	ENSACAG00000009782	GL343215.1	1931421	1944586	ortholog_one2one
VPS26A	ENSG00000122958	10	70883268	70932617	ENSACAG00000009758	GL343215.1	1993863	2005644	ortholog_one2one
SUPV3L1	ENSG00000156502	10	70939988	70968855	ENSACAG00000009685	GL343215.1	2010885	2036827	ortholog_one2one
HKDC1	ENSG00000156510	10	70980059	71027315	ENSACAG00000009326	GL343215.1	2042832	2079174	ortholog_one2one
TACR2	ENSG00000075073	10	71163659	71176623	ENSACAG00000009276	GL343215.1	2186380	2210989	ortholog_one2one
TSPAN15	ENSG00000099282	10	71211229	71267425	ENSACAG00000009256	GL343215.1	2226923	2264312	ortholog_one2one
C10orf35	ENSG00000171224	10	71390007	71393352	ENSACAG00000009172	GL343215.1	2427255	2437270	ortholog_one2one
COL13A1	ENSG00000197467	10	71561644	71724031	ENSACAG00000017768	3	48844590	48958494	ortholog_one2one
H2AFY2	ENSG00000099284	10	71812552	71872036	ENSACAG00000017782	3	48801361	48832837	ortholog_one2one
AIFM2	ENSG00000042286	10	71857979	71892690	ENSACAG00000017786	3	48791144	48804765	ortholog_one2one
TYSND1	ENSG00000156521	10	71897737	71906432	ENSACAG00000001462	3	51302552	51316471	ortholog_one2one
SAR1A	ENSG00000079332	10	71909960	71930279	ENSACAG00000001470	3	51292499	51296439	ortholog_one2one
PPA1	ENSG00000180817	10	71962587	71993667	ENSACAG00000001549	3	51243624	51278300	ortholog_one2one
NPFFR1	ENSG00000148734	10	72014713	72043440	ENSACAG00000015207	3	51192354	51227204	ortholog_one2one
LRRC20	ENSG00000172731	10	72058729	72142382	ENSACAG00000008384	3	50989659	51127035	ortholog_one2one
EIF4EBP2	ENSG00000148730	10	72164135	72188374	ENSACAG00000008388	3	50947915	50969657	ortholog_one2one
NODAL	ENSG00000156574	10	72192071	72207707	ENSACAG00000008399	3	50911098	50933538	ortholog_one2one
PALD1	ENSG00000107719	10	72238577	72328205	ENSACAG00000008406	3	50680224	50877692	ortholog_one2one
PRF1	ENSG00000180644	10	72357104	72362531	ENSACAG00000008358	GL343220.1	1053786	1058676	apparent_ortholog_one2one
ADAMTS14	ENSG00000138316	10	72432559	72522197	ENSACAG00000008463	3	50500473	50604209	ortholog_one2one
TBATA	ENSG00000166220	10	72530995	72545157	ENSACAG00000008733	3	50407686	50444525	ortholog_one2one
SGPL1	ENSG00000166224	10	72575717	72640930	ENSACAG00000008740	3	50344342	50402950	ortholog_one2one
PCBD1	ENSG00000166228	10	72642037	72648541	ENSACAG00000008843	3	50326988	50341902	ortholog_one2one
UNC5B	ENSG00000107731	10	72972327	73062621	ENSACAG00000015868	3	47541495	47842610	ortholog_one2one
SLC29A3	ENSG00000198246	10	73079015	73123142	ENSACAG00000015996	3	47883498	47922862	ortholog_one2one
CDH23	ENSG00000107736	10	73156691	73575702	ENSACAG00000028908	3	48024293	48548047	ortholog_one2one
C10orf105	ENSG00000214688	10	73471458	73497581	ENSACAG00000028208	3	48411948	48417720	ortholog_one2one
C10orf54	ENSG00000107738	10	73507316	73533255	ENSACAG00000016392	3	48449439	48464849	ortholog_one2one
CHST3	ENSG00000122863	10	73724123	73773322	ENSACAG00000017793	3	48753865	48758051	ortholog_one2one
SPOCK2	ENSG00000107742	10	73818793	73848790	ENSACAG00000001348	3	51363684	51493625	ortholog_one2one
ASCC1	ENSG00000138303	10	73856278	73976892	ENSACAG00000001244	3	51523594	51627015	ortholog_one2one
ANAPC16	ENSG00000166295	10	73975787	73995618	ENSACAG00000001222	3	51634396	51643382	ortholog_one2one
DDIT4	ENSG00000168209	10	74033678	74035794	ENSACAG00000001209	3	51710509	51715418	ortholog_one2one
DNAJB12	ENSG00000148719	10	74092588	74114988	ENSACAG00000001004	3	51850792	51885141	ortholog_one2one
MICU1	ENSG00000107745	10	74127098	74385899	ENSACAG00000000907	3	51936862	52141475	ortholog_one2one
MCU	ENSG00000156026	10	74451889	74647452	ENSACAG00000000862	3	52263960	52403218	ortholog_one2one
OIT3	ENSG00000138315	10	74653339	74692791	ENSACAG00000000811	3	52414588	52470363	apparent_ortholog_one2one
PLA2G12B	ENSG00000138308	10	74694928	74714536	ENSACAG00000028458	3	52466446	52489533	ortholog_one2one
P4HA1	ENSG00000122884	10	74766975	74856732	ENSACAG00000000564	3	52507353	52562013	ortholog_one2one
NUDT13	ENSG00000166321	10	74870217	74891586	ENSACAG00000000498	3	52573842	52586301	ortholog_one2one
FAM149B1	ENSG00000138286	10	74927924	75004262	ENSACAG00000004289	GL343378.1	7567	30567	ortholog_one2one
DNAJC9	ENSG00000213551	10	74943120	75008620	ENSACAG00000004330	GL343378.1	36621	45712	ortholog_one2one
TTC18	ENSG00000156042	10	75013517	75118617	ENSACAG00000004024	GL344148.1	328	21504	ortholog_one2one
ANXA7	ENSG00000138279	10	75135203	75173834	ENSACAG00000010149	GL343196.1	848343	860908	ortholog_one2one
MSS51	ENSG00000166343	10	75183339	75193319	ENSACAG00000004068	GL344148.1	37791	59234	ortholog_one2one
PPP3CB	ENSG00000107758	10	75196186	75255782	ENSACAG00000010008	GL343196.1	864594	913286	ortholog_one2one
USP54	ENSG00000166348	10	75257296	75385711	ENSACAG00000009939	GL343196.1	917664	1004669	ortholog_one2one
MYOZ1	ENSG00000177791	10	75391412	75401515	ENSACAG00000009922	GL343196.1	1045409	1105193	ortholog_one2one
SYNPO2L	ENSG00000166317	10	75404639	75415830	ENSACAG00000009895	GL343196.1	1143454	1194916	ortholog_one2one
SEC24C	ENSG00000176986	10	75504120	75531919	ENSACAG00000009727	GL343196.1	1222810	1266575	ortholog_one2one
FUT11	ENSG00000196968	10	75532049	75538821	ENSACAG00000009701	GL343196.1	1275749	1287143	ortholog_one2one
CHCHD1	ENSG00000172586	10	75541805	75543410	ENSACAG00000009690	GL343196.1	1301525	1302818	ortholog_one2one
ZSWIM8	ENSG00000214655	10	75545383	75561551	ENSACAG00000009522	GL343196.1	1364281	1414841	apparent_ortholog_one2one
NDST2	ENSG00000166507	10	75561669	75571589	ENSACAG00000009340	GL343196.1	1421790	1502256	ortholog_one2one
CAMK2G	ENSG00000148660	10	75572259	75634343	ENSACAG00000009061	GL343196.1	1538320	1739726	ortholog_one2one
PLAU	ENSG00000122861	10	75668935	75677255	ENSACAG00000009046	GL343196.1	1862161	1883022	ortholog_one2one
VCL	ENSG00000035403	10	75757872	75879918	ENSACAG00000008935	GL343196.1	1936220	2038227	ortholog_one2one
AP3M1	ENSG00000185009	10	75881524	75910821	ENSACAG00000008930	GL343196.1	2041961	2050453	ortholog_one2one
ADK	ENSG00000156110	10	75910960	76469061	ENSACAG00000008837	GL343196.1	2055039	2239339	ortholog_one2one
KAT6B	ENSG00000156650	10	76585340	76792380	ENSACAG00000008709	GL343196.1	2267250	2374741	ortholog_one2one
DUPD1	ENSG00000188716	10	76797594	76818272	ENSACAG00000008686	GL343196.1	2375866	2414693	ortholog_one2one
DUSP13	ENSG00000079393	10	76854190	76868976	ENSACAG00000008666	GL343196.1	2451149	2505885	ortholog_one2one
SAMD8	ENSG00000156671	10	76859344	76941881	ENSACAG00000008599	GL343196.1	2624790	2660279	ortholog_one2one
VDAC2	ENSG00000165637	10	76969912	76991206	ENSACAG00000008559	GL343196.1	2699019	2712106	ortholog_one2one
COMTD1	ENSG00000165644	10	76993727	76995788	ENSACAG00000008521	GL343196.1	2723060	2753934	ortholog_one2one
ZNF503	ENSG00000165655	10	77157588	77161664	ENSACAG00000008510	GL343196.1	3191590	3197857	ortholog_one2one
C10orf11	ENSG00000148655	10	77191211	78319925	ENSACAG00000028568	GL343196.1	3694570	3750867	ortholog_one2one
KCNMA1	ENSG00000156113	10	78637355	79398353	ENSACAG00000008216	GL343196.1	4382572	4905918	ortholog_one2one
DLG5	ENSG00000151208	10	79550549	79686378	ENSACAG00000008092	GL343196.1	5174514	5322659	ortholog_one2one
POLR3A	ENSG00000148606	10	79734907	79789303	ENSACAG00000007985	GL343196.1	5352906	5398188	apparent_ortholog_one2one
RPS24	ENSG00000138326	10	79793518	79816570	ENSACAG00000007960	GL343196.1	5402355	5405415	ortholog_one2one
ZMIZ1	ENSG00000108175	10	80828792	81076276	ENSACAG00000004256	GL343468.1	362685	568740	ortholog_one2one
PPIF	ENSG00000108179	10	81107225	81115093	ENSACAG00000004362	GL343468.1	590829	610574	ortholog_one2one
ZCCHC24	ENSG00000165424	10	81142081	81205383	ENSACAG00000004401	GL343495.1	45505	218182	ortholog_one2one
SFTPD	ENSG00000133661	10	81697496	81742370	ENSACAG00000004849	GL343233.1	1461285	1495994	ortholog_one2one
ANXA11	ENSG00000122359	10	81910645	81965328	ENSACAG00000004422	GL343495.1	277505	338133	ortholog_one2one
MAT1A	ENSG00000151224	10	82031576	82049440	ENSACAG00000004911	GL343233.1	1713109	1756455	ortholog_one2one
DYDC1	ENSG00000170788	10	82095861	82116511	ENSACAG00000004928	GL343233.1	1771379	1791521	ortholog_one2one
DYDC2	ENSG00000133665	10	82104501	82127829	ENSACAG00000004935	GL343233.1	1801417	1801790	ortholog_one2one
FAM213A	ENSG00000122378	10	82167585	82192753	ENSACAG00000029235	GL343233.1	1844033	1894030	ortholog_one2one
TSPAN14	ENSG00000108219	10	82213922	82282387	ENSACAG00000001509	GL343233.1	1952537	1999131	ortholog_one2one
SH2D4B	ENSG00000178217	10	82297658	82406316	ENSACAG00000001757	GL343233.1	2192465	2332987	ortholog_one2one
NRG3	ENSG00000185737	10	83635070	84746935	ENSACAG00000005816	GL343199.1	2005130	2244743	ortholog_one2one
GHITM	ENSG00000165678	10	85899196	85913001	ENSACAG00000015442	GL343199.1	3124975	3140945	ortholog_one2one
CDHR1	ENSG00000148600	10	85954410	85979377	ENSACAG00000015407	GL343199.1	3190944	3255962	ortholog_one2one
LRIT2	ENSG00000204033	10	85980327	85985345	ENSACAG00000015403	GL343199.1	3273104	3284603	ortholog_one2one
LRIT1	ENSG00000148602	10	85991349	86001217	ENSACAG00000015397	GL343199.1	3295391	3335577	ortholog_one2one
RGR	ENSG00000148604	10	86004809	86019716	ENSACAG00000015384	GL343199.1	3386614	3415394	ortholog_one2one
CCSER2	ENSG00000107771	10	86088342	86278273	ENSACAG00000001956	GL343251.1	1213445	1357010	ortholog_one2one
GRID1	ENSG00000182771	10	87359312	88126250	ENSACAG00000002005	GL343331.1	172844	410042	ortholog_one2one
WAPAL	ENSG00000062650	10	88195013	88281572	ENSACAG00000014345	GL343368.1	846765	905175	ortholog_one2one
OPN4	ENSG00000122375	10	88414314	88426605	ENSACAG00000014422	GL343368.1	1016503	1085661	ortholog_one2one
LDB3	ENSG00000122367	10	88428206	88495825	ENSACAG00000014492	GL343199.1	4430792	4644175	ortholog_one2one
BMPR1A	ENSG00000107779	10	88516407	88684945	ENSACAG00000014543	GL343199.1	4313630	4354677	ortholog_one2one
MMRN2	ENSG00000173269	10	88695297	88729238	ENSACAG00000014748	GL343199.1	4232896	4304238	ortholog_one2one
SNCG	ENSG00000173267	10	88718375	88723017	ENSACAG00000014759	GL343199.1	4187882	4233335	ortholog_one2one
MINPP1	ENSG00000107789	10	89264632	89313217	ENSACAG00000015245	GL343246.1	1154804	1173553	ortholog_one2one
PAPSS2	ENSG00000198682	10	89419370	89507462	ENSACAG00000015171	GL343246.1	1053215	1117788	ortholog_one2one
ATAD1	ENSG00000138138	10	89511269	89601100	ENSACAG00000015140	GL343246.1	1024122	1045771	ortholog_one2one
PTEN	ENSG00000171862	10	89622870	89731687	ENSACAG00000015101	GL343246.1	921793	993316	ortholog_one2one
RNLS	ENSG00000184719	10	90033621	90344287	ENSACAG00000015097	GL343246.1	614113	767632	apparent_ortholog_one2one
LIPM	ENSG00000173239	10	90562654	90580303	ENSACAG00000014897	GL343246.1	330729	362447	ortholog_one2one
ANKRD22	ENSG00000152766	10	90581889	90611575	ENSACAG00000000760	GL343246.1	247602	272878	ortholog_one2one
STAMBPL1	ENSG00000138134	10	90639491	90734910	ENSACAG00000000640	GL343246.1	188479	229535	apparent_ortholog_one2one
ACTA2	ENSG00000107796	10	90694831	90751147	ENSACAG00000000475	GL343246.1	163717	183328	ortholog_one2one
FAS	ENSG00000026103	10	90750414	90775542	ENSACAG00000000472	GL343246.1	130333	141781	ortholog_one2one
CH25H	ENSG00000138135	10	90965694	90967071	ENSACAG00000000471	GL343246.1	749	1498	apparent_ortholog_one2one
LIPA	ENSG00000107798	10	90973326	91174314	ENSACAG00000008884	GL344073.1	18368	48211	ortholog_one2one
SLC16A12	ENSG00000152779	10	91190051	91316398	ENSACAG00000008785	GL343902.1	9311	84230	ortholog_one2one
PANK1	ENSG00000152782	10	91342745	91405215	ENSACAG00000008075	GL343219.1	21	35733	ortholog_one2one
KIF20B	ENSG00000138182	10	91461367	91534700	ENSACAG00000008048	GL343219.1	58253	142556	apparent_ortholog_one2one
HTR7	ENSG00000148680	10	92500578	92617671	ENSACAG00000029017	GL343219.1	567977	585051	ortholog_one2one
RPP30	ENSG00000148688	10	92631473	92668312	ENSACAG00000007996	GL343219.1	667722	703964	ortholog_one2one
ANKRD1	ENSG00000148677	10	92671853	92681033	ENSACAG00000007919	GL343219.1	702946	723192	ortholog_one2one
PCGF5	ENSG00000180628	10	92979908	93044088	ENSACAG00000007900	GL343219.1	818098	844053	ortholog_one2one
HECTD2	ENSG00000165338	10	93170096	93274586	ENSACAG00000007890	GL343219.1	906792	960595	ortholog_one2one
PPP1R3C	ENSG00000119938	10	93388199	93392811	ENSACAG00000007886	GL343219.1	1054807	1055769	ortholog_one2one
TNKS2	ENSG00000107854	10	93558069	93625033	ENSACAG00000007762	GL343219.1	1110852	1153980	ortholog_one2one
FGFBP3	ENSG00000174721	10	93666346	93669240	ENSACAG00000007760	GL343219.1	1184816	1185589	ortholog_one2one
BTAF1	ENSG00000095564	10	93683526	93790082	ENSACAG00000006198	GL343262.1	1610783	1681642	ortholog_one2one
CPEB3	ENSG00000107864	10	93808399	94050844	ENSACAG00000006335	GL343262.1	1707911	1802855	ortholog_one2one
5-Mar	ENSG00000198060	10	94050920	94113721	ENSACAG00000006424	GL343262.1	1835395	1885582	ortholog_one2one
KIF11	ENSG00000138160	10	94353043	94415150	ENSACAG00000006621	GL343219.1	2533223	2565024	ortholog_one2one
HHEX	ENSG00000152804	10	94447945	94455403	ENSACAG00000006660	GL343219.1	2483929	2508879	ortholog_one2one
EXOC6	ENSG00000138190	10	94590935	94819250	ENSACAG00000006673	GL343219.1	2285866	2426139	ortholog_one2one
